sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
27,74,0,832.63,92.75,826.88,1.13
78,80,7,90.07,110.37,43.12,3.65
71,44,1,377.89,323.53,298.15,1.9
73,24,1,491.61,243.25,434.31,1.68
108,103,16,161.54,220.84,103.32,2.18
23,40,18,721.0,336.62,661.82,1.5
24,30,18,727.62,221.04,699.11,1.32
22,50,18,848.18,277.08,808.0,1.36
79,54,22,327.15,202.37,268.73,1.9
78,64,22,688.2,308.44,626.98,1.53
63,11,17,724.21,285.7,684.96,1.37
61,31,17,1134.73,405.77,1062.97,1.44
43,32,7,752.88,150.64,738.21,1.22
41,52,7,714.0,168.51,693.73,1.27
40,62,7,642.05,258.09,588.46,1.53
44,74,19,631.26,242.89,593.44,1.41
47,44,19,827.62,262.84,794.04,1.32
44,22,7,783.52,350.3,727.41,1.44
49,24,19,884.56,296.55,842.62,1.36
46,54,19,680.4,268.98,637.4,1.41
111,40,16,706.19,290.07,658.26,1.44
63,136,17,779.16,496.61,666.6,1.72
94,32,22,901.67,316.55,855.99,1.36
43,84,19,1019.63,251.65,992.08,1.26
54,61,14,483.39,319.13,399.81,1.84
59,11,14,641.51,151.0,630.45,1.18
52,81,14,305.86,283.75,246.45,1.93
45,64,19,503.0,165.12,482.58,1.31
55,51,14,411.08,156.58,383.4,1.45
94,105,13,205.8,205.37,72.87,6.61
57,31,14,483.04,234.23,427.24,1.68
59,165,16,322.29,117.28,302.92,1.42
31,25,0,644.41,425.45,527.52,1.89
30,35,0,780.87,339.38,723.01,1.46
96,65,23,424.79,247.86,366.2,1.69
48,34,19,1012.44,294.46,973.93,1.31
